,worker,pretest,posttest,video,studentGender,like,helpGen,helpOthers
267,AGKL1HOKIR138,0.105263157895,0.210526315789,https://www.youtube.com/embed/mfzhcBRKoEE,1,4,4,3
268,A1FYFBIFYWTMJS,0.210526315789,0.105263157895,https://www.youtube.com/embed/oo0IlwM4IJA,0,1,1,1
269,A2C84QVRK3KG57,0.0526315789474,0.210526315789,https://www.youtube.com/embed/t0untxpZAv0,1,1,1,1
270,A1STPYX0X942RG,0.157894736842,0.0526315789474,https://www.youtube.com/embed/UH1wxKd_nT4,0,3,3,2
271,AHYP2FNFSIYM,0.842105263158,1.0,https://www.youtube.com/embed/mfzhcBRKoEE,1,4,3,2
272,A2PQV1A2D4CG52,0.210526315789,0.368421052632,https://www.youtube.com/embed/oo0IlwM4IJA,0,5,4,3
273,A1FS8SBR4SDWYG,0.0,0.105263157895,Videos/3HHRAGRYX84J893VW4LHFKJ4IUIO9Y/VID_20151221_154615.mp4,2,1,1,1
274,AXLBUO4KFX78X,0.210526315789,0.0526315789474,https://www.youtube.com/embed/TvTtOJ_cYVM,0,1,3,3
275,AASEV0P4KJRAL,0.157894736842,0.0,https://www.youtube.com/embed/b3C6N1ytVfE,0,4,2,2
276,A30KYQGABO7JER,1.0,1.0,https://www.youtube.com/embed/eafkjJPwfp4,1,5,4,4
277,A25PFSORDO3SWQ,0.315789473684,0.368421052632,Videos/3PXX5PX6LXXDUYORK5UV5VUPHDHBAW/10.m4v,0,2,3,2
278,A2MGH3MBXMKD96,0.157894736842,0.263157894737,https://www.youtube.com/embed/TvTtOJ_cYVM,1,1,1,1
279,A34PZU7S7JCAJO,0.315789473684,0.263157894737,https://www.youtube.com/embed/UH1wxKd_nT4,0,4,3,2
280,AYJEQZWQZ471L,0.473684210526,0.263157894737,https://www.youtube.com/embed/oo0IlwM4IJA,0,4,3,3
281,A27ODHA3747UVP,0.473684210526,0.842105263158,Videos/3LRKMWOKB5GK7TW3D4HJLVIUWSO2ZZ/log10_1000.mp4,0,4,3,3
282,A3F51C49T9A34D,0.421052631579,0.736842105263,https://www.youtube.com/embed/eafkjJPwfp4,0,4,3,3
283,A37VBAMFEQKJO4,0.0,0.578947368421,https://www.youtube.com/embed/b3C6N1ytVfE,0,3,3,3
284,A2R89RXGEVG05I,0.421052631579,0.473684210526,Videos/3HHRAGRYX84J893VW4LHFKJ4IUIO9Y/VID_20151221_154615.mp4,1,1,1,1
285,A37EV8RZ82WT8E,0.263157894737,0.105263157895,https://www.youtube.com/embed/dsDh6cYWsfU,0,4,4,3
286,A3HQ79XXFXL57N,0.421052631579,0.578947368421,https://www.youtube.com/embed/dsDh6cYWsfU,1,4,3,3
287,A3AM9JHTS7537G,0.157894736842,0.0,https://www.youtube.com/embed/oo0IlwM4IJA,0,5,3,3
288,AAV3UOXN5TXAU,0.263157894737,0.368421052632,Videos/3GFK2QRXX9G8CVALK0ZAKYROZ4HW5I/logbase3of1.mp4,1,3,2,2
289,A3E9HBHOGOP9JK,0.263157894737,0.315789473684,https://www.youtube.com/embed/mfzhcBRKoEE,1,2,2,2
290,A3W5BTNHDA9U64,0.368421052632,0.473684210526,Videos/3VSOLARPKB8UMKA9D61PRHLTN6H39J/Math%2BSolve5.mp4,1,4,3,3
291,A3PDN1JTPIMGYR,0.0526315789474,0.473684210526,https://www.youtube.com/embed/TvTtOJ_cYVM,0,4,3,2
292,A121DO2TIST9HD,0.0526315789474,0.0526315789474,https://www.youtube.com/embed/UH1wxKd_nT4,0,5,3,3
293,A348QHHJZ4P0SL,0.315789473684,0.736842105263,Videos/3LRKMWOKB5GK7TW3D4HJLVIUWSO2ZZ/log10_1000.mp4,0,3,2,3
294,A1P7ZED14W8QPK,0.105263157895,0.0,https://www.youtube.com/embed/Q1xnNrq9Hh0,0,4,3,3
295,A39XLBFLSTLS,0.105263157895,0.210526315789,Videos/3NQL1CS15R7TZUK05SZB9T63NW6YV5/12.m4v,0,1,1,2
296,A3B8DP6KHMP3OS,0.842105263158,0.947368421053,https://www.youtube.com/embed/mfzhcBRKoEE,1,4,3,3
297,A1VC6F0FYG1L5I,0.0526315789474,0.105263157895,https://www.youtube.com/embed/mfzhcBRKoEE,1,1,1,2
298,A1MN0DHHHW8VIL,0.947368421053,0.947368421053,https://www.youtube.com/embed/dsDh6cYWsfU,1,4,4,3
299,A1WXPOLDS1Y9R4,0.0526315789474,0.0,https://www.youtube.com/embed/Q1xnNrq9Hh0,0,4,3,2
300,A2IK12OZPQENZP,0.0526315789474,0.0526315789474,Videos/3HHRAGRYX84J893VW4LHFKJ4IUIO9Y/VID_20151221_154615.mp4,1,3,2,2
301,AV7UX8QQXABSK,0.210526315789,0.157894736842,Videos/3PXX5PX6LXXDUYORK5UV5VUPHDHBAW/10.m4v,0,5,4,4
302,A1T208Y507O4RS,0.157894736842,0.105263157895,https://www.youtube.com/embed/oo0IlwM4IJA,1,1,1,1
303,A2ZLJQWCM8KU36,0.0526315789474,0.0,Videos/3LRKMWOKB5GK7TW3D4HJLVIUWSO2ZZ/log10_1000.mp4,0,4,3,3
304,A2WQKPQT9DHBJK,0.315789473684,0.315789473684,https://www.youtube.com/embed/t0untxpZAv0,0,4,2,3
305,A11UOM2LJ69AE7,1.0,0.947368421053,https://www.youtube.com/embed/t0untxpZAv0,0,4,3,3
306,A32Q6TNSAG4U3I,0.315789473684,0.210526315789,Videos/369J354OFD98YDKZAE5XQ1J01986GB/final%2Bupload.mp4,0,4,3,3
307,A77K8W55MJEKX,0.105263157895,0.315789473684,https://www.youtube.com/embed/TvTtOJ_cYVM,1,2,2,3
308,AZTCXU0TX6JRM,0.0526315789474,0.0526315789474,https://www.youtube.com/embed/TvTtOJ_cYVM,1,1,1,1
309,A2GG7HIO2OIXUR,0.210526315789,0.631578947368,Videos/3LRKMWOKB5GK7TW3D4HJLVIUWSO2ZZ/log10_1000.mp4,1,4,4,3
310,AQIRBIW11DAM1,0.0,0.0,https://www.youtube.com/embed/eafkjJPwfp4,1,3,2,2
311,A25X755IRWK2U5,0.0526315789474,0.0526315789474,https://www.youtube.com/embed/Q1xnNrq9Hh0,1,3,2,2
312,A1WYZXOTTP17YO,0.157894736842,0.105263157895,Videos/3VSOLARPKB8UMKA9D61PRHLTN6H39J/Math%2BSolve5.mp4,0,5,3,3
313,A2ETARP95NIALM,0.263157894737,0.0,https://www.youtube.com/embed/eafkjJPwfp4,1,4,3,3
314,A3HWJUL2SS2QNT,0.0526315789474,0.0,https://www.youtube.com/embed/eafkjJPwfp4,0,2,2,3
